full_duration_ms,sound_duration_ms,n_pulses,pulse_rate_hz,pulse_strength,rms,centroid_hz,bandwidth_hz,dominant_hz,flatness,class
626.17,626.17,139,50.0,0.461,0.00013,649.17,561.48,51.1,0.02,vocal
650.4,650.4,142,50.0,0.545,0.00012,561.81,547.75,50.74,0.02,vocal
659.36,659.36,144,50.0,0.558,0.00013,559.29,543.23,50.05,0.01,vocal
658.88,658.88,141,50.0,0.557,0.00013,593.21,554.38,50.09,0.01,vocal
629.07,629.07,132,50.0,0.596,0.00013,628.41,560.14,50.87,0.02,vocal
635.65,635.65,136,50.0,0.46,0.00012,588.84,563.41,50.34,0.01,vocal
653.8,653.8,142,50.0,0.535,0.00011,603.89,552.83,50.47,0.02,vocal
666.99,666.99,143,50.0,0.501,0.00011,590.53,549.23,50.98,0.03,vocal
624.84,624.84,130,25.0,0.479,0.00012,633.59,559.46,51.21,0.03,vocal
616.1,616.1,127,50.0,0.623,0.00011,632.48,558.78,50.32,0.02,vocal
610.79,610.79,128,50.0,0.715,0.00011,685.5,570.25,50.75,0.02,vocal
620.74,620.72,137,50.0,0.596,0.00011,652.3,566.34,51.55,0.03,vocal
651.92,651.92,138,50.0,0.394,0.00012,560.42,545.89,50.62,0.02,vocal
660.31,660.31,145,12.5,0.438,0.00011,635.89,560.87,51.49,0.05,vocal
636.49,636.49,149,50.0,0.609,9e-05,622.31,558.06,50.28,0.02,vocal
618.16,617.81,139,50.0,0.611,9e-05,638.09,558.5,50.18,0.03,vocal
613.71,613.71,135,50.0,0.576,0.0001,520.87,525.42,50.51,0.02,vocal
655.86,655.86,147,50.0,0.538,0.0001,559.66,549.45,50.32,0.02,vocal
641.29,641.29,143,50.0,0.52,9e-05,624.14,546.74,51.46,0.04,vocal
649.52,649.52,138,50.0,0.583,9e-05,515.95,530.18,50.81,0.02,vocal
648.83,648.83,156,50.0,0.626,9e-05,635.06,564.47,50.86,0.03,vocal
612.34,612.34,149,50.0,0.582,9e-05,579.03,549.0,50.63,0.03,vocal
651.05,651.05,146,50.0,0.5,9e-05,539.5,541.63,50.69,0.02,vocal
642.67,642.67,145,50.0,0.592,9e-05,569.12,545.79,51.35,0.03,vocal
654.49,654.49,108,400.0,0.583,0.00011,447.95,505.27,50.42,0.02,vocal
621.24,621.24,117,400.0,0.446,0.00011,516.09,523.54,51.51,0.03,vocal
664.76,664.49,129,400.0,0.413,0.00011,497.12,518.58,51.17,0.02,vocal
688.48,688.48,131,400.0,0.637,0.00012,492.67,518.43,50.84,0.02,vocal
655.34,655.17,121,400.0,0.698,0.00011,434.34,501.29,50.37,0.01,vocal
624.16,622.83,132,400.0,0.393,0.0001,517.37,525.81,51.38,0.03,vocal
635.12,635.12,137,400.0,0.42,0.0001,495.99,518.48,50.38,0.02,vocal
664.25,664.25,151,50.0,0.323,0.0001,514.58,520.31,51.19,0.03,vocal
633.75,633.75,147,50.0,0.42,0.0001,492.91,509.6,50.49,0.02,vocal
693.55,693.51,131,400.0,0.621,0.00011,572.92,531.31,50.47,0.03,vocal
732.62,732.62,114,400.0,0.599,0.00013,409.17,478.94,50.5,0.01,vocal
632.04,632.04,106,400.0,0.689,0.00014,411.16,464.82,50.63,0.02,vocal
650.38,650.35,96,400.0,0.675,0.00013,399.66,460.66,50.74,0.02,vocal
635.65,633.93,71,400.0,0.769,0.00012,377.3,462.07,50.48,0.01,vocal
634.44,634.44,72,400.0,0.765,0.00013,384.5,466.9,50.44,0.01,vocal
628.96,628.96,57,400.0,0.725,0.00013,478.09,495.48,50.88,0.02,vocal
608.05,607.88,56,400.0,0.74,0.00013,475.18,493.28,51.0,0.02,vocal
646.26,645.62,64,400.0,0.726,0.00013,393.3,462.88,51.11,0.01,vocal
641.29,636.39,55,400.0,0.72,0.00013,432.18,497.2,50.28,0.02,vocal
650.54,650.54,138,400.0,0.424,0.0001,508.65,531.09,50.73,0.02,vocal
657.05,656.3,61,400.0,0.802,0.00013,385.65,468.88,50.28,0.01,vocal
641.29,641.29,82,400.0,0.591,0.00011,559.99,537.56,51.46,0.03,vocal
693.55,693.03,101,400.0,0.635,0.00013,431.61,482.72,50.5,0.02,vocal
668.54,668.54,101,400.0,0.713,0.00014,483.21,533.78,50.86,0.02,vocal
652.43,652.43,82,400.0,0.705,0.00012,422.04,483.34,50.58,0.01,vocal
647.64,647.64,97,400.0,0.73,0.00011,450.38,523.52,50.95,0.01,vocal
653.46,646.65,27,400.0,0.842,0.00014,382.89,490.16,51.03,0.01,vocal
637.86,637.86,94,400.0,0.716,0.00011,475.87,532.33,50.17,0.01,vocal
644.89,644.53,24,400.0,0.882,0.00014,339.77,442.34,51.2,0.01,vocal
647.81,588.47,7,400.0,0.942,0.00022,255.86,354.52,105.36,0.0,vocal
629.99,629.99,104,400.0,0.681,0.00012,444.08,509.88,50.79,0.01,vocal
707.78,698.09,23,400.0,0.929,0.00019,309.87,417.63,107.44,0.0,vocal
658.77,654.01,38,400.0,0.892,0.0002,298.97,392.83,103.97,0.0,vocal
632.73,632.39,31,400.0,0.916,0.00025,332.33,436.27,109.11,0.01,vocal
652.43,651.7,26,400.0,0.944,0.00028,292.14,401.79,107.41,0.0,vocal
649.69,630.35,25,400.0,0.93,0.00033,269.4,358.83,106.29,0.0,vocal
659.11,649.98,33,400.0,0.929,0.00036,261.98,348.0,100.0,0.0,vocal
644.38,644.38,32,400.0,0.918,0.00036,257.03,334.84,108.63,0.0,vocal
647.98,644.24,41,400.0,0.931,0.00036,251.0,327.53,100.89,0.0,vocal
636.15,627.27,34,400.0,0.929,0.00034,271.67,378.79,105.22,0.0,vocal
637.01,636.04,35,400.0,0.931,0.00034,265.5,373.32,105.34,0.0,vocal
660.31,642.27,29,400.0,0.936,0.00027,279.51,387.3,104.32,0.0,vocal
613.54,604.31,34,400.0,0.896,0.00023,408.42,464.25,51.3,0.02,vocal
639.93,639.04,39,400.0,0.837,0.00018,336.87,436.25,50.07,0.01,vocal
608.57,608.57,41,400.0,0.853,0.00019,356.56,443.09,50.94,0.01,vocal
621.76,621.76,66,400.0,0.845,0.00018,363.83,443.83,109.37,0.01,vocal
611.66,611.35,33,400.0,0.91,0.00025,343.27,406.76,50.71,0.01,vocal
662.02,640.5,28,400.0,0.915,0.00024,261.67,330.12,79.63,0.0,vocal
649.51,636.12,38,400.0,0.895,0.00027,371.86,450.53,50.3,0.01,vocal
657.06,641.2,28,400.0,0.82,0.00018,314.58,402.07,93.57,0.01,vocal
651.23,633.75,24,400.0,0.91,0.00018,290.71,385.83,50.49,0.0,vocal
611.3,605.62,15,400.0,0.92,0.00017,356.31,440.57,51.19,0.01,vocal
673.33,669.85,9,400.0,0.918,0.0002,279.27,382.23,98.53,0.0,vocal
640.61,640.18,12,400.0,0.91,0.00017,299.65,394.59,90.6,0.0,vocal
652.6,626.26,16,400.0,0.901,0.00027,267.27,322.99,99.0,0.0,vocal
