start_s,end_s,duration_s,class,confidence
1819.145,1819.2,0.055,vocal,0.5773
1819.225,1819.305,0.08,vocal,0.9042
1819.32,1819.36,0.04,water,0.5126
1819.37,1819.47,0.1,vocal,0.7368
1819.48,1819.525,0.045,vocal,0.6712
1819.535,1819.56,0.025,water,0.5599
1819.585,1819.62,0.035,water,0.7346
1819.63,1819.69,0.06,water,0.7671
1819.72,1819.725,0.005,click,0.8759
1819.755,1819.765,0.01,water,0.5159
1819.78,1819.795,0.015,water,0.5276
1819.805,1819.81,0.005,click,0.8632
1819.82,1819.825,0.005,click,0.8819
1819.85,1819.905,0.055,vocal,0.5044
1819.915,1819.935,0.02,water,0.6137
1819.945,1819.96,0.015,water,0.6802
1820.01,1820.02,0.01,water,0.8272
1820.07,1820.075,0.005,click,0.8282
1820.145,1820.15,0.005,click,0.8095
1820.17,1820.175,0.005,click,0.8701
1820.185,1820.2,0.015,water,0.6812
1820.255,1820.27,0.015,water,0.7203
1820.29,1820.295,0.005,click,0.8811
1820.365,1820.38,0.015,water,0.918
1820.555,1820.56,0.005,click,0.8667
