rank,start_s,end_s,duration_s,similarity
452,590.0,590.05,0.05,0.9033
453,648.85,648.885,0.035,0.9031
454,270.615,270.635,0.02,0.9029
455,519.27,519.315,0.045,0.9029
456,152.295,152.33,0.035,0.9028
457,704.985,705.01,0.025,0.9028
458,942.93,942.975,0.045,0.9028
459,562.255,562.265,0.01,0.9028
460,209.175,209.19,0.015,0.9027
461,909.155,909.22,0.065,0.9026
462,1064.785,1064.795,0.01,0.9026
463,150.025,150.06,0.035,0.9026
464,718.415,718.44,0.025,0.9026
465,127.86,127.895,0.035,0.9023
466,156.175,156.24,0.065,0.9023
467,189.19,189.195,0.005,0.9021
468,173.265,173.31,0.045,0.9021
469,107.235,107.26,0.025,0.9021
470,488.28,488.31,0.03,0.9021
471,169.05,169.085,0.035,0.902
472,914.49,914.555,0.065,0.9019
473,242.26,242.275,0.015,0.9019
474,928.735,928.74,0.005,0.9017
475,241.51,241.575,0.065,0.9017
476,924.34,924.355,0.015,0.9016
477,872.975,872.98,0.005,0.9014
478,684.76,684.825,0.065,0.9014
479,246.305,246.355,0.05,0.9014
480,258.35,258.355,0.005,0.9012
481,182.34,182.365,0.025,0.9012
482,655.39,655.425,0.035,0.9012
483,680.525,680.55,0.025,0.9012
484,103.775,103.78,0.005,0.9011
485,68.555,68.56,0.005,0.9011
486,1043.06,1043.085,0.025,0.901
487,251.295,251.305,0.01,0.9009
488,847.54,847.575,0.035,0.9008
489,661.47,661.495,0.025,0.9007
490,412.0,412.015,0.015,0.9007
491,350.83,350.88,0.05,0.9006
492,122.835,122.85,0.015,0.9006
493,561.565,561.575,0.01,0.9006
494,782.74,782.765,0.025,0.9005
495,114.395,114.41,0.015,0.9005
496,876.86,876.865,0.005,0.9004
497,562.57,562.635,0.065,0.9004
498,978.94,979.005,0.065,0.9003
499,70.795,70.81,0.015,0.9003
500,533.445,533.48,0.035,0.9002
501,120.38,120.43,0.05,0.9002
502,676.79,676.805,0.015,0.9001
503,318.84,318.855,0.015,0.9001
504,571.31,571.315,0.005,0.9
505,260.825,260.86,0.035,0.8997
506,583.605,583.61,0.005,0.8997
507,525.82,525.845,0.025,0.8996
508,380.78,380.865,0.085,0.8995
509,186.185,186.19,0.005,0.8994
510,629.01,629.015,0.005,0.8992
511,51.145,51.16,0.015,0.8992
512,561.74,561.805,0.065,0.8992
513,51.015,51.03,0.015,0.8991
514,183.87,183.88,0.01,0.8991
515,1190.44,1190.455,0.015,0.899
516,1115.43,1115.44,0.01,0.899
517,691.175,691.26,0.085,0.899
518,645.58,645.585,0.005,0.899
519,1182.29,1182.315,0.025,0.8989
520,839.515,839.55,0.035,0.8989
521,363.38,363.41,0.03,0.8989
522,105.975,105.99,0.015,0.8989
523,636.605,636.61,0.005,0.8989
524,270.825,270.86,0.035,0.8988
525,206.575,206.61,0.035,0.8987
526,674.155,674.24,0.085,0.8987
527,914.77,914.775,0.005,0.8986
528,175.8,175.865,0.065,0.8986
529,73.58,73.585,0.005,0.8986
530,686.88,686.905,0.025,0.8985
531,658.375,658.39,0.015,0.8984
532,478.355,478.38,0.025,0.8984
533,206.015,206.08,0.065,0.8983
534,501.875,501.88,0.005,0.8982
535,154.055,154.12,0.065,0.8982
536,215.705,215.72,0.015,0.8982
537,81.585,81.665,0.08,0.8981
538,638.685,638.69,0.005,0.8981
539,644.165,644.175,0.01,0.8981
540,536.62,536.685,0.065,0.8981
541,185.155,185.17,0.015,0.8979
542,686.82,686.825,0.005,0.8979
543,918.925,918.95,0.025,0.8979
544,158.475,158.5,0.025,0.8979
545,171.485,171.49,0.005,0.8978
546,644.92,644.93,0.01,0.8978
547,650.74,650.75,0.01,0.8978
548,984.32,984.325,0.005,0.8978
549,648.16,648.185,0.025,0.8977
550,182.83,182.835,0.005,0.8976
